person_income,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,loan_status
9600,1000,11.14,0.1,2,0
9900,2500,7.14,0.25,2,1
10000,1600,14.74,0.16,3,1
10800,1750,10.99,0.16,2,1
10980,1500,7.29,0.14,3,0
11000,1400,9.32,0.13,3,0
11389,4000,12.84,0.35,2,1
11520,2000,11.12,0.17,3,1
12000,2500,7.51,0.21,4,1
12000,2500,12.69,0.21,3,1
12000,1500,14.84,0.13,3,0
12000,3000,13.61,0.25,3,1
88000,28000,9.91,0.32,3,1
12000,4200,13.48,0.35,4,1
83004,28000,15.99,0.34,4,1
100000,28000,12.69,0.28,3,0
12000,3250,15.68,0.27,3,1
70000,27500,13.06,0.39,3,1
73200,27050,15.62,0.37,2,1
83000,27000,13.49,0.33,2,1
62500,26000,11.71,0.42,2,1
120000,25600,12.69,0.21,3,0
12360,1600,13.57,0.13,3,0
60000,25475,10.99,0.42,3,1
234000,20000,14.27,0.09,4,0
234000,20000,8.88,0.09,4,0
221004,11900,14.42,0.05,3,1
83000,25300,10.99,0.3,3,1
12600,2000,5.42,0.16,4,1
12600,1750,13.61,0.14,3,0
12816,3000,12.87,0.23,4,1
12960,3650,9.91,0.28,3,1
226000,20000,11.49,0.09,4,0
12960,4500,11.83,0.35,4,1
12996,2400,13.49,0.18,2,1
12996,3600,14.59,0.28,3,1
225000,3000,9.32,0.01,4,0
225000,7500,8.63,0.03,2,0
50000,25000,11.83,0.5,4,1
50004,25000,12.23,0.5,3,1
52000,25000,11.11,0.48,4,1
13200,4950,7.9,0.38,4,1
216000,21000,8.9,0.1,3,0
216000,20000,14.22,0.09,2,0
215000,12000,7.88,0.06,2,0
52000,25000,13.22,0.48,2,1
53000,25000,13.43,0.47,4,1
13200,1400,9.25,0.11,4,0
13200,4500,12.98,0.34,4,1
210000,16000,10.62,0.08,4,0
210000,22000,11.83,0.1,4,0
55000,25000,11.36,0.45,3,1
55000,25000,15.65,0.45,3,1
55164,25000,13.22,0.45,4,1
56000,25000,12.87,0.45,2,1
203500,20000,13.04,0.1,3,0
60000,25000,10.99,0.42,3,1
60000,25000,11.11,0.42,3,1
54000,25000,14.83,0.46,2,1
200000,12000,12.69,0.06,2,0
200000,12000,13.49,0.06,2,0
200000,16000,14.65,0.08,4,0
54000,25000,16.82,0.46,4,1
60000,25000,12.73,0.42,3,1
60000,25000,10.25,0.42,4,1
60000,25000,10.99,0.42,4,1
61959,25000,12.73,0.4,2,1
56400,25000,14.96,0.44,3,1
200000,15000,14.79,0.07,3,0
200000,15500,11.99,0.08,2,0
200000,10000,8.49,0.05,4,0
66000,25000,9.91,0.38,2,1
66000,25000,13.06,0.38,3,1
200000,9000,6.17,0.04,4,0
200000,6000,11.86,0.03,2,0
200000,18000,16.32,0.09,3,0
200000,12000,10.38,0.06,2,0
200000,23050,14.35,0.12,3,0
66996,25000,15.21,0.37,2,1
67000,25000,7.9,0.37,4,1
67000,25000,10.99,0.37,3,1
68000,25000,14.09,0.37,3,1
69000,25000,17.49,0.36,2,1
200000,12000,11.48,0.06,3,0
200000,3000,13.92,0.01,3,0
69996,25000,15.21,0.36,3,1
14400,4000,10.99,0.28,3,1
70000,25000,11.86,0.36,4,1
56100,25000,16.49,0.38,4,1
66000,25000,15.33,0.38,2,1
66000,25000,11.58,0.38,4,1
72612,25000,13.11,0.34,2,1
74000,25000,10.36,0.34,3,1
75000,25000,10.36,0.33,2,1
192000,20000,6.54,0.1,4,0
191000,10000,12.53,0.05,4,0
75000,25000,10.25,0.33,4,1
71000,25000,15.95,0.35,4,1
190000,20000,12.18,0.11,4,0
189996,24000,11.83,0.13,3,0
78000,25000,10.62,0.32,3,1
78504,25000,10.74,0.32,3,1
186000,10000,10.25,0.05,4,0
185000,15000,15.27,0.08,2,0
62050,25000,15.33,0.34,2,1
79416,25000,15.21,0.31,2,1
79631,25000,15.7,0.31,2,1
79632,25000,13.35,0.31,4,1
80000,25000,6.62,0.31,2,1
80000,25000,13.61,0.31,4,1
185000,5000,7.68,0.03,2,0
184992,22000,14.46,0.12,4,0
184000,2500,11.83,0.01,2,0
172000,20000,13.47,0.12,4,1
183000,20000,11.49,0.11,3,0
182952,15000,6.03,0.08,3,0
74004,25000,16.35,0.34,4,1
81000,25000,7.29,0.31,3,1
81600,25000,11.36,0.31,3,1
82000,25000,10.25,0.3,2,0
83000,25000,11.12,0.3,3,0
83000,25000,12.92,0.3,3,0
180000,18000,18.64,0.1,4,0
14400,4000,16.7,0.28,2,1
14400,2100,11.14,0.15,4,0
84500,25000,18.3,0.3,4,0
85000,25000,10.62,0.29,4,0
180000,14000,11.99,0.08,2,0
180000,12000,9.63,0.07,4,0
142800,10000,18.25,0.06,4,1
87000,25000,14.84,0.29,3,0
75000,25000,14.7,0.33,3,1
76000,25000,16.02,0.33,4,1
66215,25000,15.37,0.32,2,1
90000,25000,10.99,0.28,4,0
180000,25000,10.99,0.14,4,0
180000,21000,11.48,0.12,3,0
180000,20000,14.26,0.11,4,0
180000,10000,8.0,0.06,4,0
180000,9950,11.26,0.06,2,0
78000,25000,16.32,0.32,3,1
66300,25000,17.93,0.32,4,1
90000,25000,11.36,0.28,3,0
79000,25000,14.96,0.32,4,1
91800,25000,13.43,0.27,3,0
92000,25000,12.69,0.27,3,0
92000,25000,12.73,0.27,4,0
93600,25000,15.21,0.27,4,0
15000,1750,12.68,0.12,3,0
83800,25000,15.95,0.3,3,1
175000,2600,8.9,0.01,4,0
175000,8000,7.9,0.05,2,0
175000,21000,11.99,0.12,3,0
15000,4000,13.98,0.27,4,1
15000,4600,10.99,0.31,2,1
88000,25000,15.58,0.28,2,1
74800,25000,10.99,0.28,2,1
88000,25000,14.96,0.28,4,1
15000,1750,15.31,0.12,4,0
88000,25000,15.65,0.28,3,1
100000,25000,9.33,0.25,4,0
15000,3600,13.47,0.24,4,1
102400,25000,10.36,0.24,3,0
92000,25000,16.77,0.27,4,1
93000,25000,14.59,0.27,2,1
175000,3500,11.91,0.02,2,0
175000,7200,8.38,0.04,3,0
174708,9000,10.59,0.05,3,0
174000,8800,14.27,0.05,3,0
174000,12000,12.53,0.07,4,0
173467,10000,11.71,0.06,4,0
15000,3175,11.54,0.21,3,1
96000,25000,15.68,0.26,4,1
15120,1500,10.59,0.1,2,0
97908,25000,12.61,0.26,2,1
15204,2800,8.49,0.18,3,1
171500,18000,8.9,0.1,4,0
170004,10000,11.11,0.06,4,0
170000,13000,12.42,0.08,3,0
110000,25000,15.7,0.23,2,0
15360,2500,12.53,0.16,3,1
134300,5000,16.49,0.03,2,1
170000,20000,7.49,0.12,2,0
100580,25000,14.96,0.25,2,1
113000,25000,12.73,0.22,4,0
120000,25000,10.65,0.21,4,0
120000,25000,10.74,0.21,2,0
120000,25000,9.99,0.21,2,0
91800,25000,15.33,0.23,2,1
15600,1000,7.29,0.06,4,0
108000,25000,15.05,0.23,3,1
129996,25000,10.75,0.19,3,0
130000,25000,11.49,0.19,4,0
170000,20000,12.53,0.12,4,0
170000,12000,13.57,0.07,2,0
169000,14000,11.14,0.08,3,0
168750,24250,12.87,0.14,3,0
168600,20000,11.58,0.12,3,0
168288,1800,11.12,0.01,3,0
133300,25000,10.37,0.19,2,0
15600,3300,6.39,0.21,4,1
134000,25000,16.07,0.19,3,0
134000,25000,10.62,0.19,2,0
15600,3200,18.09,0.21,2,1
135000,25000,11.36,0.19,4,0
135660,25000,12.53,0.18,4,0
145000,25000,9.99,0.17,4,0
150000,25000,10.36,0.17,3,0
165000,9600,5.99,0.06,3,0
153000,24000,15.62,0.16,2,1
165000,20000,10.37,0.12,4,0
165000,20000,6.91,0.12,4,0
16000,6000,7.9,0.38,2,1
16000,2275,13.06,0.14,4,0
16000,2000,6.39,0.13,3,0
148000,25000,14.93,0.17,3,1
16000,5600,12.84,0.35,4,1
16020,3625,17.14,0.23,2,1
16094,5500,7.14,0.34,3,1
16200,2000,12.42,0.12,3,0
16400,5000,8.94,0.3,4,1
16500,4375,9.63,0.27,4,1
49500,24750,14.22,0.5,3,1
60000,24750,9.33,0.41,3,1
84200,24500,13.85,0.29,4,0
16800,2000,10.65,0.12,2,0
92000,24500,11.46,0.27,4,0
160000,12000,16.77,0.07,4,0
160000,12000,9.63,0.07,4,0
160000,25000,12.23,0.16,4,0
125800,10000,14.09,0.07,4,1
54000,24250,13.98,0.45,4,1
62500,24250,10.62,0.39,4,1
68400,24250,17.56,0.35,4,1
56045,24250,14.96,0.37,2,1
74000,24250,15.65,0.33,2,1
65453,24250,15.7,0.31,2,1
89908,24250,12.53,0.27,3,0
78000,24250,17.56,0.31,3,1
100000,24250,12.87,0.24,2,0
103000,24250,15.7,0.24,2,0
160000,15000,11.14,0.09,4,0
160000,20000,16.0,0.13,3,0
160000,15250,15.31,0.1,4,0
160000,20000,13.47,0.13,2,0
16800,4750,13.85,0.28,2,1
16800,6000,10.39,0.36,4,1
115200,24250,11.36,0.21,2,0
144000,24250,11.83,0.17,3,0
108000,24150,14.96,0.22,3,1
47004,24000,11.58,0.51,4,1
52000,24000,10.74,0.46,2,1
17352,2250,15.27,0.13,3,0
17400,1000,11.36,0.06,2,0
60000,24000,7.9,0.4,4,1
60000,24000,10.99,0.4,4,1
60000,24000,7.29,0.4,3,1
60000,24000,10.75,0.4,2,1
62004,24000,7.9,0.39,3,1
62400,24000,14.84,0.38,2,1
60000,24000,14.96,0.4,4,1
66143,24000,6.99,0.36,3,1
62250,24000,16.45,0.39,4,1
70000,24000,10.99,0.34,4,1
74000,24000,10.99,0.32,2,1
18000,3000,7.9,0.17,4,1
75000,24000,12.69,0.32,4,1
75000,24000,10.37,0.32,3,1
69000,24000,15.83,0.35,3,1
78000,24000,13.92,0.31,3,1
18000,2000,11.49,0.11,3,0
80000,24000,10.25,0.3,2,0
18000,3500,7.49,0.19,4,1
18000,4000,5.99,0.22,2,1
74700,24000,12.92,0.32,2,1
88596,24000,11.58,0.27,3,0
95000,24000,8.9,0.25,2,0
95000,24000,6.54,0.25,4,0
18000,4900,14.54,0.27,4,1
18000,5000,11.11,0.28,2,1
100000,24000,12.73,0.24,4,0
110000,24000,15.62,0.22,4,0
18000,6250,6.54,0.35,4,1
120000,24000,9.91,0.2,4,0
120000,24000,12.69,0.2,4,0
124080,24000,16.49,0.19,4,0
18000,2500,15.95,0.14,2,1
130000,24000,11.49,0.18,3,0
135000,24000,10.99,0.18,2,0
135000,24000,13.79,0.18,2,0
150000,24000,7.49,0.16,4,0
138000,24000,16.0,0.17,2,1
18000,6250,10.62,0.35,4,1
155000,24000,10.99,0.15,4,0
18000,2500,11.36,0.14,3,0
120000,23750,13.47,0.2,2,0
54996,23600,11.89,0.43,3,1
102000,23600,13.49,0.23,4,0
75000,23575,14.5,0.31,4,1
18000,5400,15.31,0.3,2,1
66960,23400,7.49,0.35,2,1
60000,23000,12.18,0.38,4,1
18000,1200,11.34,0.07,4,0
63208,23000,9.91,0.36,3,1
65000,23000,11.99,0.35,4,1
68000,23000,9.62,0.34,2,1
18000,3000,9.96,0.17,3,1
88000,23000,14.54,0.26,2,1
58600,22750,11.36,0.39,4,1
70000,22500,14.27,0.32,2,1
18287,3000,11.99,0.16,3,1
69846,22500,18.99,0.32,2,1
73000,22400,16.7,0.31,4,1
18500,5000,9.32,0.27,3,1
52000,22000,10.74,0.42,2,1
18701,4200,14.11,0.22,4,1
57000,22000,9.63,0.39,3,1
58000,22000,14.65,0.38,2,1
60000,22000,10.25,0.37,4,1
60000,22000,14.26,0.37,2,1
18840,3000,9.91,0.16,2,1
56000,22000,17.19,0.39,3,1
70000,22000,11.36,0.31,4,1
74064,22000,10.59,0.3,3,0
76597,22000,9.25,0.29,2,0
19000,3625,8.49,0.19,3,1
77000,22000,6.54,0.29,3,0
19000,6000,8.49,0.32,3,1
82600,22000,12.69,0.27,2,0
19000,7400,13.85,0.39,2,1
19000,4000,7.4,0.21,3,1
84000,22000,11.71,0.26,4,0
77650,22000,11.48,0.28,3,1
82000,22000,17.51,0.27,2,1
19012,3500,14.61,0.18,3,1
99996,22000,7.88,0.22,4,0
